signup_id,sent_count,opened_count,open_frequency
709948,17,17,1.0
709951,18,18,1.0
709502,17,17,1.0
709967,17,17,1.0
709974,1,1,1.0
709537,17,17,1.0
709550,1,1,1.0
709790,26,26,1.0
710102,4,4,1.0
710178,17,17,1.0
710763,5,5,1.0
710791,16,16,1.0
710797,16,16,1.0
710829,16,16,1.0
710850,16,16,1.0
710936,16,16,1.0
710996,4,4,1.0
711040,16,16,1.0
710517,5,5,1.0
711065,4,4,1.0
711075,16,16,1.0
710532,3,3,1.0
710575,1,1,1.0
710292,21,21,1.0
710293,22,22,1.0
710600,16,16,1.0
710377,16,16,1.0
710655,25,25,1.0
710426,5,5,1.0
710432,16,16,1.0
710466,2,2,1.0
711036,16,16,1.0
710475,23,23,1.0
710734,4,4,1.0
710408,21,21,1.0
2817,1,1,1.0
167916,1,1,1.0
212919,1,1,1.0
46298,1,1,1.0
123943,1,1,1.0
1812,1,1,1.0
259545,1,1,1.0
285218,1,1,1.0
286341,1,1,1.0
282183,1,1,1.0
282677,1,1,1.0
417240,1,1,1.0
286110,1,1,1.0
287743,1,1,1.0
298351,1,1,1.0
415333,1,1,1.0
285122,1,1,1.0
397254,1,1,1.0
422415,1,1,1.0
285339,1,1,1.0
589646,1,1,1.0
501485,1,1,1.0
502379,1,1,1.0
511689,1,1,1.0
591115,1,1,1.0
651210,1,1,1.0
213680,1,1,1.0
572927,1,1,1.0
573652,1,1,1.0
586699,1,1,1.0
286142,1,1,1.0
286412,1,1,1.0
655395,1,1,1.0
286509,1,1,1.0
286642,1,1,1.0
659257,1,1,1.0
661405,1,1,1.0
283249,1,1,1.0
287720,1,1,1.0
206647,1,1,1.0
305136,1,1,1.0
210594,1,1,1.0
288456,1,1,1.0
356734,1,1,1.0
386414,1,1,1.0
413939,1,1,1.0
415050,1,1,1.0
421419,1,1,1.0
422560,1,1,1.0
32406,1,1,1.0
571908,1,1,1.0
579970,1,1,1.0
589650,1,1,1.0
282900,1,1,1.0
285320,1,1,1.0
599611,2,2,1.0
610221,1,1,1.0
89063,1,1,1.0
586839,1,1,1.0
586963,1,1,1.0
593213,1,1,1.0
675112,1,1,1.0
676968,1,1,1.0
620747,1,1,1.0
620874,1,1,1.0
264219,1,1,1.0
648614,1,1,1.0
666570,3,3,1.0
499744,1,1,1.0
588739,1,1,1.0
711154,1,1,1.0
711160,15,15,1.0
603076,1,1,1.0
711202,15,15,1.0
711233,3,3,1.0
711242,15,15,1.0
711252,15,15,1.0
304015,8,8,1.0
711593,13,13,1.0
711621,7,7,1.0
712161,13,13,1.0
711753,10,10,1.0
712209,11,11,1.0
711758,24,24,1.0
712212,2,2,1.0
711771,13,13,1.0
712232,14,14,1.0
711785,5,5,1.0
712281,3,3,1.0
712288,11,11,1.0
711896,13,13,1.0
711933,13,13,1.0
711959,13,13,1.0
711963,7,7,1.0
711974,13,13,1.0
711981,17,17,1.0
712029,17,17,1.0
712047,13,13,1.0
712048,1,1,1.0
712054,13,13,1.0
711374,13,13,1.0
712079,13,13,1.0
712089,5,5,1.0
711426,13,13,1.0
712094,14,14,1.0
711427,13,13,1.0
711486,18,18,1.0
711493,13,13,1.0
712118,13,13,1.0
712137,13,13,1.0
711518,3,3,1.0
712146,18,18,1.0
712151,12,12,1.0
712156,13,13,1.0
711370,18,18,1.0
711559,6,6,1.0
711761,3,3,1.0
711793,13,13,1.0
712344,10,10,1.0
712355,4,4,1.0
712356,16,16,1.0
712998,15,15,1.0
715248,20,20,1.0
712506,9,9,1.0
713595,9,9,1.0
712509,9,9,1.0
712510,3,3,1.0
713055,9,9,1.0
713599,9,9,1.0
713063,9,9,1.0
714118,9,9,1.0
713607,9,9,1.0
712522,1,1,1.0
714120,9,9,1.0
713076,9,9,1.0
714127,9,9,1.0
713078,9,9,1.0
713625,9,9,1.0
713091,8,8,1.0
713636,10,10,1.0
712553,9,9,1.0
713103,9,9,1.0
714152,9,9,1.0
714153,1,1,1.0
712565,4,4,1.0
713133,9,9,1.0
712585,12,12,1.0
713671,1,1,1.0
713140,16,16,1.0
712590,9,9,1.0
712592,6,6,1.0
714184,9,9,1.0
713141,10,10,1.0
713153,1,1,1.0
714192,9,9,1.0
714196,9,9,1.0
713701,9,9,1.0
712626,1,1,1.0
714214,9,9,1.0
713181,9,9,1.0
713711,16,16,1.0
713718,9,9,1.0
713198,9,9,1.0
712643,1,1,1.0
713202,9,9,1.0
713731,9,9,1.0
714237,9,9,1.0
713739,9,9,1.0
713220,12,12,1.0
714269,9,9,1.0
713774,11,11,1.0
713789,9,9,1.0
714645,12,12,1.0
713794,9,9,1.0
713257,9,9,1.0
714663,10,10,1.0
713268,9,9,1.0
713806,6,6,1.0
713822,9,9,1.0
713844,9,9,1.0
713315,1,1,1.0
714345,4,4,1.0
712764,9,9,1.0
713320,9,9,1.0
714722,9,9,1.0
713871,9,9,1.0
714741,4,4,1.0
714746,9,9,1.0
714748,9,9,1.0
713369,9,9,1.0
714765,4,4,1.0
714767,9,9,1.0
714394,9,9,1.0
712830,13,13,1.0
713408,9,9,1.0
712863,9,9,1.0
713411,9,9,1.0
714426,12,12,1.0
713418,9,9,1.0
714432,9,9,1.0
714813,9,9,1.0
714814,13,13,1.0
714819,3,3,1.0
714446,1,1,1.0
714454,9,9,1.0
712898,9,9,1.0
713457,1,1,1.0
712461,14,14,1.0
714855,9,9,1.0
714856,14,14,1.0
713994,1,1,1.0
714859,9,9,1.0
714862,1,1,1.0
714488,9,9,1.0
714875,9,9,1.0
712380,3,3,1.0
714010,9,9,1.0
712384,6,6,1.0
714501,9,9,1.0
714502,3,3,1.0
714505,9,9,1.0
713501,11,11,1.0
712960,10,10,1.0
712401,9,9,1.0
713508,3,3,1.0
713512,1,1,1.0
714521,9,9,1.0
714523,4,4,1.0
713072,9,9,1.0
714534,2,2,1.0
712993,9,9,1.0
713532,1,1,1.0
714539,21,21,1.0
714540,2,2,1.0
712994,10,10,1.0
714058,11,11,1.0
714079,9,9,1.0
714085,9,9,1.0
712458,9,9,1.0
713568,10,10,1.0
714578,10,10,1.0
712472,9,9,1.0
714589,9,9,1.0
714590,9,9,1.0
714600,14,14,1.0
714601,13,13,1.0
714609,9,9,1.0
712495,9,9,1.0
714801,14,14,1.0
715647,16,16,1.0
715503,9,9,1.0
715510,12,12,1.0
715512,9,9,1.0
715531,9,9,1.0
715536,11,11,1.0
715544,11,11,1.0
715547,7,7,1.0
715567,7,7,1.0
715583,7,7,1.0
715759,2,2,1.0
715783,4,4,1.0
715709,10,10,1.0
716143,12,12,1.0
715858,6,6,1.0
715945,6,6,1.0
716540,2,2,1.0
716242,7,7,1.0
716635,7,7,1.0
717017,6,6,1.0
716184,4,4,1.0
716262,4,4,1.0
716269,6,6,1.0
716797,4,4,1.0
716536,4,4,1.0
716907,7,7,1.0
716978,9,9,1.0
716778,4,4,1.0
716783,4,4,1.0
717102,6,6,1.0
716973,6,6,1.0
717358,7,7,1.0
716998,3,3,1.0
717096,3,3,1.0
717099,3,3,1.0
717164,4,4,1.0
717226,4,4,1.0
717243,5,5,1.0
717539,4,4,1.0
717744,2,2,1.0
717762,2,2,1.0
717624,3,3,1.0
717638,3,3,1.0
717722,1,1,1.0
717725,1,1,1.0
717726,1,1,1.0
717293,2,2,1.0
717297,2,2,1.0
717730,1,1,1.0
717300,2,2,1.0
717302,2,2,1.0
717734,1,1,1.0
717739,1,1,1.0
717741,3,3,1.0
717743,1,1,1.0
717396,2,2,1.0
717399,2,2,1.0
717764,1,1,1.0
717766,1,1,1.0
717787,1,1,1.0
717826,3,3,1.0
717827,1,1,1.0
717301,2,2,1.0
717553,1,1,1.0
717820,1,1,1.0
717861,2,2,1.0
717967,1,1,1.0
650848,197,196,0.9949238578680203
691514,179,178,0.994413407821229
602087,168,167,0.9940476190476191
679471,163,162,0.9938650306748467
659368,152,151,0.993421052631579
277467,148,147,0.9932432432432432
303890,146,145,0.9931506849315068
666259,146,145,0.9931506849315068
595706,132,131,0.9924242424242424
497049,131,130,0.9923664122137404
396575,127,126,0.9921259842519685
489983,126,125,0.9920634920634921
577976,124,123,0.9919354838709677
182305,124,123,0.9919354838709677
510816,124,123,0.9919354838709677
321863,124,123,0.9919354838709677
578316,124,123,0.9919354838709677
591135,124,123,0.9919354838709677
660419,124,123,0.9919354838709677
661275,124,123,0.9919354838709677
594272,124,123,0.9919354838709677
599114,124,123,0.9919354838709677
666616,124,123,0.9919354838709677
276951,123,122,0.991869918699187
215608,123,122,0.991869918699187
666540,123,122,0.991869918699187
609174,123,122,0.991869918699187
673805,120,119,0.9916666666666667
71488,114,113,0.9912280701754386
209652,114,113,0.9912280701754386
569359,112,111,0.9910714285714286
602261,111,110,0.990990990990991
592017,218,216,0.9908256880733946
584848,99,98,0.98989898989899
517056,99,98,0.98989898989899
647791,99,98,0.98989898989899
503524,97,96,0.9896907216494846
640408,96,95,0.9895833333333334
511766,95,94,0.9894736842105263
653841,95,94,0.9894736842105263
669769,95,94,0.9894736842105263
1145,94,93,0.9893617021276596
567188,94,93,0.9893617021276596
286841,94,93,0.9893617021276596
620750,94,93,0.9893617021276596
665908,94,93,0.9893617021276596
213962,93,92,0.989247311827957
665461,90,89,0.9888888888888889
678799,159,157,0.9874213836477987
415871,155,153,0.9870967741935484
696469,76,75,0.9868421052631579
691499,152,150,0.9868421052631579
673377,151,149,0.9867549668874173
47712,149,147,0.9865771812080537
620941,149,147,0.9865771812080537
700401,74,73,0.9864864864864865
680990,146,144,0.9863013698630136
667586,146,144,0.9863013698630136
600710,141,139,0.9858156028368794
676765,139,137,0.9856115107913669
666394,137,135,0.9854014598540146
182617,68,67,0.9852941176470589
324722,68,67,0.9852941176470589
333556,68,67,0.9852941176470589
366811,68,67,0.9852941176470589
136763,68,67,0.9852941176470589
411792,68,67,0.9852941176470589
481317,68,67,0.9852941176470589
175845,68,67,0.9852941176470589
408900,67,66,0.9850746268656716
214963,66,65,0.9848484848484849
136840,64,63,0.984375
664814,188,185,0.9840425531914894
95049,124,122,0.9838709677419355
269463,124,122,0.9838709677419355
575259,124,122,0.9838709677419355
578281,124,122,0.9838709677419355
608920,124,122,0.9838709677419355
594720,124,122,0.9838709677419355
659006,124,122,0.9838709677419355
680320,124,122,0.9838709677419355
675462,124,122,0.9838709677419355
689957,124,122,0.9838709677419355
597050,124,122,0.9838709677419355
619072,124,122,0.9838709677419355
685917,124,122,0.9838709677419355
680697,124,122,0.9838709677419355
700844,124,122,0.9838709677419355
266665,123,121,0.983739837398374
570891,123,121,0.983739837398374
645455,122,120,0.9836065573770492
261615,179,176,0.9832402234636871
621355,179,176,0.9832402234636871
667153,111,109,0.9819819819819819
265448,163,160,0.9815950920245399
615014,107,105,0.9813084112149533
687264,102,100,0.9803921568627451
260700,151,148,0.9801324503311258
47777,149,146,0.9798657718120806
41906,99,97,0.9797979797979798
587902,99,97,0.9797979797979798
666231,98,96,0.9795918367346939
90983,98,96,0.9795918367346939
212987,98,96,0.9795918367346939
674188,146,143,0.9794520547945206
593511,146,143,0.9794520547945206
671834,145,142,0.9793103448275862
276854,144,141,0.9791666666666666
139492,96,94,0.9791666666666666
691489,191,187,0.9790575916230366
5570,94,92,0.9787234042553191
188219,94,92,0.9787234042553191
504274,94,92,0.9787234042553191
597715,179,175,0.9776536312849162
698141,88,86,0.9772727272727273
92763,127,124,0.9763779527559056
706416,42,41,0.9761904761904762
